SEASON_NUMBER,SEASON_ID,TEAM_ABBREVIATION,PLAYER_AGE,GP,GS,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,MIN_PER_GAME,FGM_PER_GAME,FGA_PER_GAME,FG3M_PER_GAME,FG3A_PER_GAME,FTM_PER_GAME,FTA_PER_GAME,OREB_PER_GAME,DREB_PER_GAME,REB_PER_GAME,AST_PER_GAME,STL_PER_GAME,BLK_PER_GAME,TOV_PER_GAME,PF_PER_GAME,PTS_PER_GAME
1,2014-15,UTA,27.0,79,32,1673.0,147,354,0.415,72,202,0.356,30,40,0.75,22,153,175,182,72,10,98,124,396,21.17721518987342,1.860759493670886,4.481012658227848,0.9113924050632911,2.5569620253164556,0.379746835443038,0.5063291139240507,0.27848101265822783,1.9367088607594938,2.2151898734177213,2.3037974683544302,0.9113924050632911,0.12658227848101267,1.240506329113924,1.5696202531645569,5.012658227848101
2,2015-16,UTA,28.0,81,2,1241.0,124,291,0.426,81,210,0.386,13,18,0.722,19,132,151,96,55,4,65,98,342,15.320987654320987,1.5308641975308641,3.5925925925925926,1.0,2.5925925925925926,0.16049382716049382,0.2222222222222222,0.2345679012345679,1.6296296296296295,1.8641975308641976,1.1851851851851851,0.6790123456790124,0.04938271604938271,0.8024691358024691,1.2098765432098766,4.222222222222222
3,2016-17,UTA,29.0,82,26,1972.0,204,451,0.452,123,279,0.441,50,68,0.735,23,238,261,225,96,8,107,163,581,24.048780487804876,2.4878048780487805,5.5,1.5,3.402439024390244,0.6097560975609756,0.8292682926829268,0.2804878048780488,2.902439024390244,3.182926829268293,2.7439024390243905,1.170731707317073,0.0975609756097561,1.3048780487804879,1.9878048780487805,7.085365853658536
4,2017-18,UTA,30.0,82,81,2579.0,335,718,0.467,204,464,0.44,66,83,0.795,24,320,344,392,90,20,159,178,940,31.451219512195124,4.085365853658536,8.75609756097561,2.4878048780487805,5.658536585365853,0.8048780487804879,1.0121951219512195,0.2926829268292683,3.902439024390244,4.195121951219512,4.780487804878049,1.0975609756097562,0.24390243902439024,1.9390243902439024,2.1707317073170733,11.463414634146341
5,2018-19,UTA,31.0,82,82,2568.0,359,802,0.448,189,483,0.391,87,123,0.707,35,295,330,469,98,20,193,180,994,31.317073170731707,4.378048780487805,9.78048780487805,2.3048780487804876,5.890243902439025,1.0609756097560976,1.5,0.4268292682926829,3.597560975609756,4.024390243902439,5.719512195121951,1.1951219512195121,0.24390243902439024,2.3536585365853657,2.1951219512195124,12.121951219512194
6,2019-20,UTA,32.0,72,45,2137.0,246,553,0.445,141,353,0.399,74,94,0.787,27,251,278,373,65,11,142,154,707,29.680555555555557,3.4166666666666665,7.680555555555555,1.9583333333333333,4.902777777777778,1.0277777777777777,1.3055555555555556,0.375,3.486111111111111,3.861111111111111,5.180555555555555,0.9027777777777778,0.1527777777777778,1.9722222222222223,2.138888888888889,9.819444444444445
7,2020-21,UTA,33.0,67,30,1867.0,275,562,0.489,183,406,0.451,76,90,0.844,27,217,244,318,45,12,117,120,809,27.865671641791046,4.104477611940299,8.388059701492537,2.7313432835820897,6.059701492537314,1.1343283582089552,1.3432835820895523,0.40298507462686567,3.2388059701492535,3.6417910447761193,4.746268656716418,0.6716417910447762,0.1791044776119403,1.7462686567164178,1.791044776119403,12.074626865671641
8,2021-22,UTA,34.0,45,15,1122.0,115,285,0.404,78,225,0.347,17,22,0.773,12,119,131,158,23,5,46,82,325,24.933333333333334,2.5555555555555554,6.333333333333333,1.7333333333333334,5.0,0.37777777777777777,0.4888888888888889,0.26666666666666666,2.6444444444444444,2.911111111111111,3.511111111111111,0.5111111111111111,0.1111111111111111,1.0222222222222221,1.8222222222222222,7.222222222222222
9,2022-23,MIL,35.0,46,0,1044.0,108,248,0.435,83,203,0.409,18,21,0.857,13,115,128,150,33,6,55,74,317,22.695652173913043,2.347826086956522,5.391304347826087,1.8043478260869565,4.413043478260869,0.391304347826087,0.45652173913043476,0.2826086956521739,2.5,2.782608695652174,3.260869565217391,0.717391304347826,0.13043478260869565,1.1956521739130435,1.608695652173913,6.891304347826087
10,2023-24,ORL,36.0,68,0,1169.0,99,227,0.436,70,161,0.435,28,34,0.824,18,124,142,203,43,5,67,88,296,17.191176470588236,1.4558823529411764,3.338235294117647,1.0294117647058822,2.3676470588235294,0.4117647058823529,0.5,0.2647058823529412,1.8235294117647058,2.088235294117647,2.985294117647059,0.6323529411764706,0.07352941176470588,0.9852941176470589,1.2941176470588236,4.352941176470588
11,2024-25,MIN,37.0,16,0,103.0,6,19,0.316,3,12,0.25,0,0,0.0,2,9,11,20,2,0,7,10,15,6.4375,0.375,1.1875,0.1875,0.75,0.0,0.0,0.125,0.5625,0.6875,1.25,0.125,0.0,0.4375,0.625,0.9375
