SEASON_NUMBER,SEASON_ID,TEAM_ABBREVIATION,PLAYER_AGE,GP,GS,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,MIN_PER_GAME,FGM_PER_GAME,FGA_PER_GAME,FG3M_PER_GAME,FG3A_PER_GAME,FTM_PER_GAME,FTA_PER_GAME,OREB_PER_GAME,DREB_PER_GAME,REB_PER_GAME,AST_PER_GAME,STL_PER_GAME,BLK_PER_GAME,TOV_PER_GAME,PF_PER_GAME,PTS_PER_GAME
1,2014-15,LAL,20.0,1,0,14.0,1,3,0.333,0,0,0.0,0,2,0.0,0,0,0,0,0,0,1,1,2,14.0,1.0,3.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0
2,2015-16,LAL,21.0,81,60,2286.0,358,835,0.429,10,36,0.278,193,270,0.715,172,657,829,144,53,29,149,242,919,28.22222222222222,4.419753086419753,10.308641975308642,0.12345679012345678,0.4444444444444444,2.382716049382716,3.3333333333333335,2.123456790123457,8.11111111111111,10.234567901234568,1.7777777777777777,0.654320987654321,0.35802469135802467,1.8395061728395061,2.9876543209876543,11.345679012345679
3,2016-17,LAL,22.0,74,73,2132.0,377,773,0.488,17,63,0.27,204,282,0.723,150,486,636,264,49,37,173,248,975,28.81081081081081,5.094594594594595,10.445945945945946,0.22972972972972974,0.8513513513513513,2.7567567567567566,3.810810810810811,2.027027027027027,6.5675675675675675,8.594594594594595,3.5675675675675675,0.6621621621621622,0.5,2.3378378378378377,3.3513513513513513,13.175675675675675
4,2017-18,LAL,23.0,82,49,2190.0,504,904,0.558,10,45,0.222,305,425,0.718,181,473,654,210,43,45,213,274,1323,26.70731707317073,6.146341463414634,11.024390243902438,0.12195121951219512,0.5487804878048781,3.7195121951219514,5.182926829268292,2.207317073170732,5.7682926829268295,7.975609756097561,2.5609756097560976,0.524390243902439,0.5487804878048781,2.597560975609756,3.341463414634146,16.134146341463413
5,2018-19,NOP,24.0,73,49,2232.0,571,1089,0.524,67,195,0.344,356,487,0.731,162,472,634,229,52,45,208,246,1565,30.575342465753426,7.821917808219178,14.917808219178083,0.9178082191780822,2.671232876712329,4.876712328767123,6.671232876712328,2.219178082191781,6.465753424657534,8.684931506849315,3.136986301369863,0.7123287671232876,0.6164383561643836,2.8493150684931505,3.3698630136986303,21.438356164383563
6,2019-20,NYK,25.0,64,64,2080.0,463,1006,0.46,64,231,0.277,258,352,0.733,151,471,622,198,51,22,193,178,1248,32.5,7.234375,15.71875,1.0,3.609375,4.03125,5.5,2.359375,7.359375,9.71875,3.09375,0.796875,0.34375,3.015625,2.78125,19.5
7,2020-21,NYK,26.0,71,71,2667.0,602,1321,0.456,160,389,0.411,348,429,0.811,84,640,724,427,64,18,241,225,1712,37.563380281690144,8.47887323943662,18.6056338028169,2.2535211267605635,5.47887323943662,4.901408450704225,6.042253521126761,1.1830985915492958,9.014084507042254,10.19718309859155,6.014084507042254,0.9014084507042254,0.2535211267605634,3.3943661971830985,3.1690140845070425,24.112676056338028
8,2021-22,NYK,27.0,72,72,2544.0,512,1246,0.411,120,390,0.308,303,401,0.756,125,591,716,370,53,39,245,205,1447,35.333333333333336,7.111111111111111,17.305555555555557,1.6666666666666667,5.416666666666667,4.208333333333333,5.569444444444445,1.7361111111111112,8.208333333333334,9.944444444444445,5.138888888888889,0.7361111111111112,0.5416666666666666,3.4027777777777777,2.8472222222222223,20.09722222222222
9,2022-23,NYK,28.0,77,77,2737.0,658,1432,0.459,218,636,0.343,402,531,0.757,141,626,767,316,49,21,216,233,1936,35.54545454545455,8.545454545454545,18.5974025974026,2.831168831168831,8.25974025974026,5.220779220779221,6.896103896103896,1.8311688311688312,8.12987012987013,9.96103896103896,4.103896103896104,0.6363636363636364,0.2727272727272727,2.8051948051948052,3.0259740259740258,25.142857142857142
10,2023-24,NYK,29.0,46,46,1630.0,395,836,0.472,76,244,0.311,236,302,0.781,99,324,423,229,25,12,159,125,1102,35.43478260869565,8.58695652173913,18.17391304347826,1.6521739130434783,5.304347826086956,5.130434782608695,6.565217391304348,2.152173913043478,7.043478260869565,9.195652173913043,4.978260869565218,0.5434782608695652,0.2608695652173913,3.4565217391304346,2.717391304347826,23.956521739130434
11,2024-25,MIN,30.0,48,48,1564.0,316,673,0.47,71,221,0.321,202,249,0.811,102,242,344,214,35,11,136,122,905,32.583333333333336,6.583333333333333,14.020833333333334,1.4791666666666667,4.604166666666667,4.208333333333333,5.1875,2.125,5.041666666666667,7.166666666666667,4.458333333333333,0.7291666666666666,0.22916666666666666,2.8333333333333335,2.5416666666666665,18.854166666666668
