SEASON_NUMBER,SEASON_ID,TEAM_ABBREVIATION,PLAYER_AGE,GP,GS,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,MIN_PER_GAME,FGM_PER_GAME,FGA_PER_GAME,FG3M_PER_GAME,FG3A_PER_GAME,FTM_PER_GAME,FTA_PER_GAME,OREB_PER_GAME,DREB_PER_GAME,REB_PER_GAME,AST_PER_GAME,STL_PER_GAME,BLK_PER_GAME,TOV_PER_GAME,PF_PER_GAME,PTS_PER_GAME
1,2007-08,MEM,20.0,53,46,1381.0,189,442,0.428,30,91,0.33,90,123,0.732,21,118,139,222,44,2,89,85,498,26.056603773584907,3.5660377358490565,8.339622641509434,0.5660377358490566,1.7169811320754718,1.6981132075471699,2.3207547169811322,0.39622641509433965,2.2264150943396226,2.6226415094339623,4.188679245283019,0.8301886792452831,0.03773584905660377,1.679245283018868,1.6037735849056605,9.39622641509434
2,2008-09,MEM,21.0,82,61,2508.0,323,730,0.442,88,217,0.406,161,197,0.817,25,251,276,354,90,8,143,146,895,30.585365853658537,3.9390243902439024,8.902439024390244,1.0731707317073171,2.6463414634146343,1.9634146341463414,2.402439024390244,0.3048780487804878,3.0609756097560976,3.3658536585365852,4.317073170731708,1.0975609756097562,0.0975609756097561,1.7439024390243902,1.7804878048780488,10.914634146341463
3,2009-10,MEM,22.0,80,80,2569.0,369,830,0.445,82,212,0.387,139,187,0.743,30,161,191,425,109,12,170,178,959,32.1125,4.6125,10.375,1.025,2.65,1.7375,2.3375,0.375,2.0125,2.3875,5.3125,1.3625,0.15,2.125,2.225,11.9875
4,2010-11,MEM,23.0,81,81,2872.0,423,953,0.444,80,217,0.369,181,247,0.733,32,215,247,528,144,18,176,182,1107,35.45679012345679,5.222222222222222,11.765432098765432,0.9876543209876543,2.6790123456790123,2.234567901234568,3.049382716049383,0.3950617283950617,2.654320987654321,3.049382716049383,6.518518518518518,1.7777777777777777,0.2222222222222222,2.1728395061728394,2.246913580246914,13.666666666666666
5,2011-12,MEM,24.0,62,61,2174.0,296,684,0.433,60,159,0.377,136,158,0.861,22,134,156,404,136,11,125,133,788,35.064516129032256,4.774193548387097,11.03225806451613,0.967741935483871,2.564516129032258,2.193548387096774,2.5483870967741935,0.3548387096774194,2.161290322580645,2.5161290322580645,6.516129032258065,2.193548387096774,0.1774193548387097,2.0161290322580645,2.1451612903225805,12.709677419354838
6,2012-13,MEM,25.0,80,80,2757.0,414,940,0.44,106,293,0.362,234,282,0.83,43,182,225,487,174,24,189,171,1168,34.4625,5.175,11.75,1.325,3.6625,2.925,3.525,0.5375,2.275,2.8125,6.0875,2.175,0.3,2.3625,2.1375,14.6
7,2013-14,MEM,26.0,73,73,2446.0,463,1030,0.45,105,291,0.361,225,276,0.815,41,172,213,441,110,13,150,141,1256,33.50684931506849,6.342465753424658,14.10958904109589,1.4383561643835616,3.9863013698630136,3.0821917808219177,3.780821917808219,0.5616438356164384,2.356164383561644,2.9178082191780823,6.041095890410959,1.5068493150684932,0.1780821917808219,2.0547945205479454,1.9315068493150684,17.205479452054796
8,2014-15,MEM,27.0,70,70,2225.0,393,882,0.446,107,277,0.386,214,249,0.859,29,180,209,375,89,14,156,139,1107,31.785714285714285,5.614285714285714,12.6,1.5285714285714285,3.9571428571428573,3.057142857142857,3.557142857142857,0.4142857142857143,2.5714285714285716,2.9857142857142858,5.357142857142857,1.2714285714285714,0.2,2.2285714285714286,1.9857142857142858,15.814285714285715
9,2015-16,MEM,28.0,56,56,1761.0,294,696,0.422,78,215,0.363,191,229,0.834,26,138,164,342,67,16,84,100,857,31.446428571428573,5.25,12.428571428571429,1.3928571428571428,3.8392857142857144,3.4107142857142856,4.089285714285714,0.4642857142857143,2.4642857142857144,2.9285714285714284,6.107142857142857,1.1964285714285714,0.2857142857142857,1.5,1.7857142857142858,15.303571428571429
10,2016-17,MEM,29.0,69,68,2292.0,464,1009,0.46,171,419,0.408,316,368,0.859,31,210,241,433,92,19,156,126,1415,33.21739130434783,6.72463768115942,14.623188405797102,2.4782608695652173,6.072463768115942,4.579710144927536,5.333333333333333,0.4492753623188406,3.0434782608695654,3.4927536231884058,6.27536231884058,1.3333333333333333,0.2753623188405797,2.260869565217391,1.826086956521739,20.507246376811594
