SEASON_NUMBER,SEASON_ID,TEAM_ABBREVIATION,PLAYER_AGE,GP,GS,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,MIN_PER_GAME,FGM_PER_GAME,FGA_PER_GAME,FG3M_PER_GAME,FG3A_PER_GAME,FTM_PER_GAME,FTA_PER_GAME,OREB_PER_GAME,DREB_PER_GAME,REB_PER_GAME,AST_PER_GAME,STL_PER_GAME,BLK_PER_GAME,TOV_PER_GAME,PF_PER_GAME,PTS_PER_GAME
1,2019-20,NOP,21.0,47,1,591.0,98,266,0.368,46,133,0.346,25,37,0.676,9,75,84,89,17,8,54,57,267,12.574468085106384,2.0851063829787235,5.659574468085107,0.9787234042553191,2.8297872340425534,0.5319148936170213,0.7872340425531915,0.19148936170212766,1.5957446808510638,1.7872340425531914,1.8936170212765957,0.3617021276595745,0.1702127659574468,1.148936170212766,1.2127659574468086,5.680851063829787
2,2020-21,NOP,22.0,46,13,1007.0,192,458,0.419,76,219,0.347,48,66,0.727,13,131,144,102,47,22,69,88,508,21.891304347826086,4.173913043478261,9.956521739130435,1.6521739130434783,4.760869565217392,1.0434782608695652,1.434782608695652,0.2826086956521739,2.847826086956522,3.130434782608696,2.217391304347826,1.0217391304347827,0.4782608695652174,1.5,1.9130434782608696,11.043478260869565
3,2021-22,NOP,23.0,50,19,1317.0,237,632,0.375,95,305,0.311,70,97,0.722,36,128,164,139,41,19,85,88,639,26.34,4.74,12.64,1.9,6.1,1.4,1.94,0.72,2.56,3.28,2.78,0.82,0.38,1.7,1.76,12.78
4,2021-22,UTA,23.0,15,2,149.0,16,48,0.333,10,33,0.303,11,12,0.917,1,22,23,17,5,4,8,15,53,9.933333333333334,1.0666666666666667,3.2,0.6666666666666666,2.2,0.7333333333333333,0.8,0.06666666666666667,1.4666666666666666,1.5333333333333334,1.1333333333333333,0.3333333333333333,0.26666666666666666,0.5333333333333333,1.0,3.533333333333333
5,2021-22,TOT,23.0,65,21,1466.0,253,680,0.372,105,338,0.311,81,109,0.743,37,150,187,156,46,23,93,103,692,22.553846153846155,3.8923076923076922,10.461538461538462,1.6153846153846154,5.2,1.2461538461538462,1.676923076923077,0.5692307692307692,2.3076923076923075,2.876923076923077,2.4,0.7076923076923077,0.35384615384615387,1.4307692307692308,1.5846153846153845,10.646153846153846
6,2022-23,UTA,24.0,36,3,528.0,83,170,0.488,35,87,0.402,27,39,0.692,8,51,59,76,24,14,45,58,228,14.666666666666666,2.3055555555555554,4.722222222222222,0.9722222222222222,2.4166666666666665,0.75,1.0833333333333333,0.2222222222222222,1.4166666666666667,1.6388888888888888,2.111111111111111,0.6666666666666666,0.3888888888888889,1.25,1.6111111111111112,6.333333333333333
7,2022-23,MIN,24.0,23,0,356.0,48,125,0.384,26,72,0.361,13,21,0.619,7,35,42,32,8,7,10,30,135,15.478260869565217,2.0869565217391304,5.434782608695652,1.1304347826086956,3.130434782608696,0.5652173913043478,0.9130434782608695,0.30434782608695654,1.5217391304347827,1.826086956521739,1.391304347826087,0.34782608695652173,0.30434782608695654,0.43478260869565216,1.3043478260869565,5.869565217391305
8,2022-23,TOT,24.0,59,3,884.0,131,295,0.444,61,159,0.384,40,60,0.667,15,86,101,108,32,21,55,88,363,14.983050847457626,2.2203389830508473,5.0,1.0338983050847457,2.694915254237288,0.6779661016949152,1.0169491525423728,0.2542372881355932,1.4576271186440677,1.7118644067796611,1.8305084745762712,0.5423728813559322,0.3559322033898305,0.9322033898305084,1.4915254237288136,6.1525423728813555
9,2023-24,MIN,25.0,82,20,1921.0,236,538,0.439,131,335,0.391,52,65,0.8,35,132,167,204,64,42,76,143,655,23.426829268292682,2.8780487804878048,6.560975609756097,1.5975609756097562,4.085365853658536,0.6341463414634146,0.7926829268292683,0.4268292682926829,1.6097560975609757,2.0365853658536586,2.4878048780487805,0.7804878048780488,0.5121951219512195,0.926829268292683,1.7439024390243902,7.987804878048781
10,2024-25,MIN,26.0,57,9,1413.0,183,414,0.442,101,253,0.399,43,57,0.754,35,143,178,143,32,18,72,101,510,24.789473684210527,3.210526315789474,7.2631578947368425,1.7719298245614035,4.43859649122807,0.7543859649122807,1.0,0.6140350877192983,2.508771929824561,3.1228070175438596,2.508771929824561,0.5614035087719298,0.3157894736842105,1.263157894736842,1.7719298245614035,8.947368421052632
