SEASON_NUMBER,SEASON_ID,TEAM_ABBREVIATION,PLAYER_AGE,GP,GS,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,MIN_PER_GAME,FGM_PER_GAME,FGA_PER_GAME,FG3M_PER_GAME,FG3A_PER_GAME,FTM_PER_GAME,FTA_PER_GAME,OREB_PER_GAME,DREB_PER_GAME,REB_PER_GAME,AST_PER_GAME,STL_PER_GAME,BLK_PER_GAME,TOV_PER_GAME,PF_PER_GAME,PTS_PER_GAME
1,2013-14,UTA,22.0,45,0,434.0,36,74,0.486,0,0,0.0,32,65,0.492,51,104,155,7,8,41,32,57,104,9.644444444444444,0.8,1.6444444444444444,0.0,0.0,0.7111111111111111,1.4444444444444444,1.1333333333333333,2.311111111111111,3.4444444444444446,0.15555555555555556,0.17777777777777778,0.9111111111111111,0.7111111111111111,1.2666666666666666,2.311111111111111
2,2014-15,UTA,23.0,82,37,2158.0,258,427,0.604,0,2,0.0,170,273,0.623,265,510,775,109,64,189,111,175,686,26.317073170731707,3.1463414634146343,5.2073170731707314,0.0,0.024390243902439025,2.073170731707317,3.3292682926829267,3.231707317073171,6.219512195121951,9.451219512195122,1.329268292682927,0.7804878048780488,2.3048780487804876,1.353658536585366,2.1341463414634148,8.365853658536585
3,2015-16,UTA,24.0,61,60,1932.0,198,354,0.559,0,0,0.0,161,283,0.569,208,460,668,91,45,135,114,163,557,31.672131147540984,3.2459016393442623,5.80327868852459,0.0,0.0,2.639344262295082,4.639344262295082,3.4098360655737703,7.540983606557377,10.950819672131148,1.4918032786885247,0.7377049180327869,2.2131147540983607,1.8688524590163935,2.6721311475409837,9.131147540983607
4,2016-17,UTA,25.0,81,81,2744.0,413,625,0.661,0,1,0.0,311,476,0.653,314,721,1035,97,49,214,147,246,1137,33.876543209876544,5.098765432098766,7.716049382716049,0.0,0.012345679012345678,3.8395061728395063,5.8765432098765435,3.876543209876543,8.901234567901234,12.777777777777779,1.1975308641975309,0.6049382716049383,2.6419753086419755,1.8148148148148149,3.037037037037037,14.037037037037036
5,2017-18,UTA,26.0,56,56,1816.0,276,444,0.622,0,0,0.0,204,299,0.682,165,436,601,80,44,129,107,153,756,32.42857142857143,4.928571428571429,7.928571428571429,0.0,0.0,3.642857142857143,5.339285714285714,2.9464285714285716,7.785714285714286,10.732142857142858,1.4285714285714286,0.7857142857142857,2.3035714285714284,1.9107142857142858,2.732142857142857,13.5
6,2018-19,UTA,27.0,81,80,2577.0,476,712,0.669,0,0,0.0,332,522,0.636,309,732,1041,161,66,187,130,231,1284,31.814814814814813,5.8765432098765435,8.790123456790123,0.0,0.0,4.098765432098766,6.444444444444445,3.814814814814815,9.037037037037036,12.851851851851851,1.9876543209876543,0.8148148148148148,2.308641975308642,1.6049382716049383,2.8518518518518516,15.851851851851851
7,2019-20,UTA,28.0,68,68,2333.0,386,557,0.693,0,0,0.0,254,403,0.63,230,686,916,101,51,135,130,215,1026,34.30882352941177,5.676470588235294,8.191176470588236,0.0,0.0,3.735294117647059,5.926470588235294,3.3823529411764706,10.088235294117647,13.470588235294118,1.4852941176470589,0.75,1.9852941176470589,1.911764705882353,3.161764705882353,15.088235294117647
8,2020-21,UTA,29.0,71,71,2187.0,391,579,0.675,0,4,0.0,233,374,0.623,240,720,960,89,40,190,118,163,1015,30.802816901408452,5.507042253521127,8.154929577464788,0.0,0.056338028169014086,3.2816901408450705,5.267605633802817,3.380281690140845,10.140845070422536,13.52112676056338,1.2535211267605635,0.5633802816901409,2.676056338028169,1.6619718309859155,2.295774647887324,14.295774647887324
9,2021-22,UTA,30.0,66,66,2120.0,362,508,0.713,0,4,0.0,303,439,0.69,241,727,968,72,45,137,119,176,1027,32.121212121212125,5.484848484848484,7.696969696969697,0.0,0.06060606060606061,4.590909090909091,6.651515151515151,3.6515151515151514,11.015151515151516,14.666666666666666,1.0909090909090908,0.6818181818181818,2.0757575757575757,1.803030303030303,2.6666666666666665,15.56060606060606
10,2022-23,MIN,31.0,70,70,2148.0,360,546,0.659,0,3,0.0,219,340,0.644,231,583,814,87,56,95,122,210,939,30.685714285714287,5.142857142857143,7.8,0.0,0.04285714285714286,3.1285714285714286,4.857142857142857,3.3,8.32857142857143,11.628571428571428,1.2428571428571429,0.8,1.3571428571428572,1.7428571428571429,3.0,13.414285714285715
11,2023-24,MIN,32.0,76,76,2593.0,406,614,0.661,0,3,0.0,249,390,0.638,285,697,982,102,52,162,118,238,1061,34.11842105263158,5.342105263157895,8.078947368421053,0.0,0.039473684210526314,3.276315789473684,5.131578947368421,3.75,9.171052631578947,12.921052631578947,1.3421052631578947,0.6842105263157895,2.1315789473684212,1.5526315789473684,3.1315789473684212,13.960526315789474
12,2024-25,MIN,32.0,55,55,1831.0,235,360,0.653,0,0,0.0,134,197,0.68,194,379,573,101,38,85,75,132,604,33.29090909090909,4.2727272727272725,6.545454545454546,0.0,0.0,2.4363636363636365,3.581818181818182,3.5272727272727273,6.890909090909091,10.418181818181818,1.8363636363636364,0.6909090909090909,1.5454545454545454,1.3636363636363635,2.4,10.981818181818182
