player_analyzed,seasons_compared,comparison_player,comparison_type,overall_similarity,basic_combined,basic_performance,basic_growth,shooting_combined,shooting_performance,shooting_growth,advanced_combined,advanced_performance,advanced_growth
Terrence Shannon Jr.,1,Yuki Kawamura,current_nba,3.136761493508489,4.233202097703345,5.291502622129181,0.0,2.7712812921102037,3.4641016151377544,0.0,2.7712812921102037,3.4641016151377544,0.0
Terrence Shannon Jr.,1,Talen Horton-Tucker,current_nba,3.165436543168373,3.919183588453085,4.898979485566356,0.0,3.2,4.0,0.0,2.7712812921102037,3.4641016151377544,0.0
Terrence Shannon Jr.,1,Tari Eason,current_nba,3.243941170480938,4.233202097703345,5.291502622129181,0.0,3.2,4.0,0.0,2.7712812921102037,3.4641016151377544,0.0
Terrence Shannon Jr.,1,Zeke Nnaji,current_nba,3.243941170480938,4.233202097703345,5.291502622129181,0.0,3.2,4.0,0.0,2.7712812921102037,3.4641016151377544,0.0
Terrence Shannon Jr.,1,Jericho Sims,current_nba,3.243941170480938,4.233202097703345,5.291502622129181,0.0,3.2,4.0,0.0,2.7712812921102037,3.4641016151377544,0.0
Terrence Shannon Jr.,1,Ivica Zubac,current_nba,3.243941170480938,4.233202097703345,5.291502622129181,0.0,3.2,4.0,0.0,2.7712812921102037,3.4641016151377544,0.0
Terrence Shannon Jr.,1,Goga Bitadze,current_nba,3.3511208474533873,4.233202097703345,5.291502622129181,0.0,2.7712812921102037,3.4641016151377544,0.0,3.2,4.0,0.0
Terrence Shannon Jr.,1,D.J. Carton,current_nba,3.3511208474533873,4.233202097703345,5.291502622129181,0.0,2.7712812921102037,3.4641016151377544,0.0,3.2,4.0,0.0
Terrence Shannon Jr.,1,Cam Christie,current_nba,3.3511208474533873,4.233202097703345,5.291502622129181,0.0,2.7712812921102037,3.4641016151377544,0.0,3.2,4.0,0.0
Terrence Shannon Jr.,1,DeMar DeRozan,current_nba,3.3511208474533873,4.233202097703345,5.291502622129181,0.0,2.7712812921102037,3.4641016151377544,0.0,3.2,4.0,0.0
Terrence Shannon Jr.,1,Vince Carter,hof,3.4583005244258365,4.233202097703345,5.291502622129181,0.0,3.2,4.0,0.0,3.2,4.0,0.0
Terrence Shannon Jr.,1,Patrick Ewing,hof,3.4583005244258365,4.233202097703345,5.291502622129181,0.0,3.2,4.0,0.0,3.2,4.0,0.0
Terrence Shannon Jr.,1,Kevin McHale,hof,3.4583005244258365,4.233202097703345,5.291502622129181,0.0,3.2,4.0,0.0,3.2,4.0,0.0
Terrence Shannon Jr.,1,Clyde Drexler,hof,3.539975229453219,4.233202097703345,5.291502622129181,0.0,2.7712812921102037,3.4641016151377544,0.0,3.577708763999664,4.47213595499958,0.0
Terrence Shannon Jr.,1,James Worthy,hof,3.539975229453219,4.233202097703345,5.291502622129181,0.0,2.7712812921102037,3.4641016151377544,0.0,3.577708763999664,4.47213595499958,0.0
Terrence Shannon Jr.,1,Dirk Nowitzki,hof,3.568650279113103,3.919183588453085,4.898979485566356,0.0,3.2,4.0,0.0,3.577708763999664,4.47213595499958,0.0
Terrence Shannon Jr.,1,Chauncey Billups,hof,3.6471549064256683,4.233202097703345,5.291502622129181,0.0,3.2,4.0,0.0,3.577708763999664,4.47213595499958,0.0
Terrence Shannon Jr.,1,Pau Gasol,hof,3.6471549064256683,4.233202097703345,5.291502622129181,0.0,3.2,4.0,0.0,3.577708763999664,4.47213595499958,0.0
Terrence Shannon Jr.,1,Tony Parker,hof,3.6471549064256683,4.233202097703345,5.291502622129181,0.0,3.2,4.0,0.0,3.577708763999664,4.47213595499958,0.0
Terrence Shannon Jr.,1,Dwyane Wade,hof,3.6471549064256683,4.233202097703345,5.291502622129181,0.0,3.2,4.0,0.0,3.577708763999664,4.47213595499958,0.0
Donte DiVincenzo,9,Khris Middleton,current_nba,2.3933238378561406,2.8200073311759066,3.180828550281643,1.3767224547529622,2.363583297939927,2.8639974895184688,0.36192653162575983,2.1948523611543638,2.5421465764570605,0.805675499943576
Donte DiVincenzo,9,Aaron Gordon,current_nba,2.456804320898711,2.9314403228377164,3.526137898304528,0.5526500209704694,2.4753773082610335,2.867103761651494,0.9084714946991912,2.2101998262480467,2.6041924020769294,0.6342295229325137
Donte DiVincenzo,9,Paul George,current_nba,2.4624913286429724,3.263878382371696,3.8123022645633062,1.0701828536052544,1.6830512060557845,2.040625110237192,0.2527555893301537,2.4515178630722048,2.7127125321185432,1.4067391868868504
Donte DiVincenzo,9,Kris Dunn,current_nba,2.4915942729157234,3.155320746099213,3.7167234283647193,0.9097100170371893,1.9118471480134605,2.181823548634583,0.8319415455289693,2.4496045987751103,2.8467944338531357,0.860845258463009
Donte DiVincenzo,9,Pascal Siakam,current_nba,2.5378506979210966,3.1612033906383417,3.648814260177419,1.2107599124820319,2.3547536769275426,2.6509318601053478,1.1700409442163222,2.317722862059251,2.6760106844203513,0.8845715726148491
Donte DiVincenzo,9,Terry Rozier,current_nba,2.5511076169167044,2.700201267102015,2.8700827246208567,2.02067543702665,2.2121459039700717,2.252534521934999,2.0505914321103624,2.6460416482973654,2.951339824314271,1.4248489442297425
Donte DiVincenzo,9,Derrick White,current_nba,2.5512416263193973,2.8325165573392126,3.147368732840539,1.5731078553339073,2.490684097430697,2.5394025135978078,2.295810432762256,2.44088292525384,2.833653050697936,0.8698024234774561
Donte DiVincenzo,9,Kyle Anderson,current_nba,2.556904590793857,2.935639043555331,3.3877235744087506,1.1273009201416515,2.4847011383586026,2.684880100333528,1.6839852904589017,2.403639090630746,2.763100854387782,0.9657920356026013
Donte DiVincenzo,9,Kentavious Caldwell-Pope,current_nba,2.5703511154273415,2.9318060756680095,3.3917483351406648,1.0920370377773871,1.9686600260199516,2.2114606638687224,0.9974574746248678,2.6904691800107026,3.166934640897273,0.7846073364644206
Donte DiVincenzo,9,DeMar DeRozan,current_nba,2.571945719924613,2.902067291708909,3.4067580001844404,0.8833044578067842,2.301246384812639,2.6713950752541,0.8206516230467957,2.5422346015884525,2.772091888040504,1.6228054557802474
Donte DiVincenzo,9,Chauncey Billups,hof,2.5675246568746166,3.5699485871178034,4.148693611005748,1.254968491566025,2.0971965500195098,2.5060425825316703,0.4618124199708654,2.301476745180577,2.5975779852420673,1.1170717849346166
Donte DiVincenzo,9,Gary Payton,hof,2.591931675707772,3.5617336595051188,4.2598907007298745,0.769105494606096,2.475993452385088,2.9305005169210103,0.6579651942413995,2.164999795470441,2.4205235422112836,1.1429048085070708
Donte DiVincenzo,9,Steve Nash,hof,2.890986514261731,3.170319318956039,3.605044514637346,1.4314185362308114,2.7865726514571136,3.2257110835159555,1.0300189232217456,2.8035270433168846,3.1305375801764623,1.4954848958785747
Donte DiVincenzo,9,Tracy McGrady,hof,2.9522215293410934,3.2390228641689314,3.8672220145975325,0.7262262624545269,2.746082303326228,3.0255329797453894,1.6282795976495836,2.9118904749346064,3.457529921189911,0.7293326899133874
Donte DiVincenzo,9,Paul Pierce,hof,2.9561911929364393,3.913174637313266,4.551924476626961,1.3581752800584872,1.9618745098094943,2.1999872626167516,1.0094234985804655,2.9748578123114986,3.617397001453959,0.4047010557416565
Donte DiVincenzo,9,Dirk Nowitzki,hof,2.9801754919644505,3.3961156914130792,3.9617458481570136,1.1335950644373416,2.435129235218957,2.6154261490648896,1.713941579835227,3.0447285206128822,3.4322977599611235,1.4944515632199171
Donte DiVincenzo,9,Jason Kidd,hof,2.995583592730586,3.81670106711793,4.657039371768695,0.45534784851486904,2.4292174841370273,2.7935522270600597,0.9718785124448974,2.868207909833693,3.445090505923751,0.5606775254734582
Donte DiVincenzo,9,Tim Hardaway,hof,2.9970486021812257,3.8665618355434077,4.563736561204968,1.0778629328971647,2.429811813114657,2.703248505507399,1.3360650435436894,2.845910380033419,3.149516807041805,1.6314846719998726
Donte DiVincenzo,9,Kobe Bryant,hof,2.9984528461598137,3.3504371078732107,3.8030993488354405,1.5397881440242902,2.6857592233037884,2.951367774036852,1.6233250203715333,2.978807526731128,3.5129404466387246,0.8422758471007394
Donte DiVincenzo,9,Vlade Divac,hof,3.0144772398956565,3.3128841463474594,3.9347591292366135,0.8253842147908423,2.7801143893532188,3.1917347099419495,1.1336331069982961,2.982455211940974,3.3502024010355504,1.5114664555626658
Jaden McDaniels,5,Deni Avdija,current_nba,2.3647595250828632,3.089728148748839,3.500964756423593,1.4447817180498228,2.1833848371004043,2.3334098248269415,1.5832848861942548,2.092962557241105,2.3340099394940403,1.1287730282293615
Jaden McDaniels,5,Kentavious Caldwell-Pope,current_nba,2.393816598252345,2.685818399136893,3.054185129526102,1.2123514775800566,3.141191357535387,3.394885352583755,2.1264153773419157,1.87412831816855,2.1868408466816094,0.6232782041163126
Jaden McDaniels,5,OG Anunoby,current_nba,2.4237153549255126,2.765107609812497,3.0971663615356055,1.4368726029200611,1.9001130209751211,2.0101823669911294,1.4598356369110879,2.514820394457216,2.699431601215436,1.776375567424337
Jaden McDaniels,5,Max Christie,current_nba,2.447024447134658,3.1250376842689147,3.7128095791661613,0.7739501046799274,2.7184621517466776,3.0059811994930046,1.5683859607613693,1.9722989762615197,2.0035929576041487,1.8471230508910033
Jaden McDaniels,5,Bruce Brown,current_nba,2.459529549681554,3.129493829944284,3.6584259265981878,1.0137654433286687,2.4185484564563122,2.3537061384296036,2.6779177285631457,2.1450379561628097,2.4864242698189534,0.779492701538235
Jaden McDaniels,5,Kelly Oubre Jr.,current_nba,2.484826327357144,2.7183608059948376,2.945777463431507,1.8086941762481612,2.273702762568157,2.6058990930093064,0.9449174408035581,2.473620870432791,2.8183248927092097,1.0948047813271162
Jaden McDaniels,5,Dorian Finney-Smith,current_nba,2.4964225273761653,2.930343289961676,3.4320777903769133,0.9234052883007264,2.863513999111828,2.8366015214969837,2.9711639095712075,2.0959164102155787,2.4372153830433163,0.7307205189046295
Jaden McDaniels,5,Gary Harris,current_nba,2.5584197299827753,3.126397106317919,3.6576328999599106,1.0014539317499525,1.9943882844792202,1.9229725690310109,2.280051146272058,2.5564467645669806,3.0131515770151047,0.7296275147744818
Jaden McDaniels,5,Josh Hart,current_nba,2.560888217133914,2.7738473666212218,3.1252663375483434,1.3681714829127352,2.463619893576656,2.774519177337558,1.2200227585330472,2.5030428041688886,2.658253102933945,1.882201609108662
Jaden McDaniels,5,Zach Collins,current_nba,2.5911223353887483,3.2803500369205554,3.733360622046999,1.468307696414779,2.3384809477603783,2.2233959638851237,2.7988208832613974,2.3728291784370295,2.722727266710552,0.9732368253429385
