PLAYER_ID,PLAYER_NAME,SEASON_NUMBER,SEASON_ID,TEAM_ABBREVIATION,PLAYER_AGE,GP,GS,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,MIN_PER_GAME,FGM_PER_GAME,FGA_PER_GAME,FG3M_PER_GAME,FG3A_PER_GAME,FTM_PER_GAME,FTA_PER_GAME,OREB_PER_GAME,DREB_PER_GAME,REB_PER_GAME,AST_PER_GAME,STL_PER_GAME,BLK_PER_GAME,TOV_PER_GAME,PF_PER_GAME,PTS_PER_GAME,PER,TS_PCT,THREE_PAR,FTR,OREB_PCT,DREB_PCT,REB_PCT,AST_PCT,STL_PCT,BLK_PCT,TOV_PCT,USG_PCT,OWS,DWS,WS,WS_PER_48,OBPM,DBPM,BPM,VORP
1630173,Precious Achiuwa,1,2020-21,MIA,21.0,61,4,737.0,124,228,0.544,0,1,0.0,56,110,0.509,73,135,208,29,20,28,43,91,304,12.081967213114755,2.0327868852459017,3.737704918032787,0.0,0.01639344262295082,0.9180327868852459,1.8032786885245902,1.1967213114754098,2.2131147540983607,3.4098360655737703,0.47540983606557374,0.32786885245901637,0.45901639344262296,0.7049180327868853,1.4918032786885247,4.983606557377049,14.2,0.550,0.004,0.482,11.500,20.600,16.100,6.100,1.300,4.000,13.500,19.500,0.3,1.0,1.3,0.085,-3.6,-0.5,-4.1,-0.4
1630173,Precious Achiuwa,2,2021-22,TOR,22.0,73,28,1725.0,265,603,0.439,56,156,0.359,78,131,0.595,146,327,473,82,37,41,84,151,664,23.63013698630137,3.6301369863013697,8.26027397260274,0.7671232876712328,2.136986301369863,1.0684931506849316,1.7945205479452055,2.0,4.47945205479452,6.47945205479452,1.1232876712328768,0.5068493150684932,0.5616438356164384,1.1506849315068493,2.0684931506849313,9.095890410958905,12.7,0.503,0.259,0.217,8.700,21.700,14.900,6.900,1.100,2.300,11.300,18.500,0.4,2.1,2.5,0.070,-2.0,-0.6,-2.6,-0.2
1630173,Precious Achiuwa,3,2022-23,TOR,23.0,55,12,1141.0,196,404,0.485,29,108,0.269,87,124,0.702,100,228,328,50,31,30,59,102,508,20.745454545454546,3.5636363636363635,7.345454545454546,0.5272727272727272,1.9636363636363636,1.5818181818181818,2.2545454545454544,1.8181818181818181,4.1454545454545455,5.963636363636364,0.9090909090909091,0.5636363636363636,0.5454545454545454,1.0727272727272728,1.8545454545454545,9.236363636363636,15.2,0.554,0.267,0.307,9.300,24.400,16.300,6.300,1.300,2.600,11.400,19.400,0.8,1.4,2.2,0.093,-1.4,-0.8,-2.3,-0.1
1630173,Precious Achiuwa,4,2023-24,TOR,24.0,25,0,437.0,78,170,0.459,13,47,0.277,24,42,0.571,50,86,136,44,16,12,29,40,193,17.48,3.12,6.8,0.52,1.88,0.96,1.68,2.0,3.44,5.44,1.76,0.64,0.48,1.16,1.6,7.72,14.6,0.545,0.207,0.239,13.000,20.500,16.700,8.400,1.400,3.900,13.800,15.900,1.2,2.2,3.4,0.102,-1.7,0.3,-1.4,0.2
1630173,Precious Achiuwa,5,2023-24,NYK,24.0,49,18,1187.0,157,299,0.525,13,50,0.26,45,70,0.643,141,210,351,53,30,56,54,103,372,24.224489795918366,3.204081632653061,6.1020408163265305,0.2653061224489796,1.0204081632653061,0.9183673469387755,1.4285714285714286,2.877551020408163,4.285714285714286,7.163265306122449,1.0816326530612246,0.6122448979591837,1.1428571428571428,1.1020408163265305,2.1020408163265305,7.591836734693878,15.0,0.512,0.276,0.247,12.300,22.100,17.100,14.500,1.800,2.400,13.300,21.200,0.0,0.4,0.4,0.048,-1.4,-0.2,-1.6,0.0
1630173,Precious Achiuwa,6,2023-24,TOT,24.0,74,18,1624.0,235,469,0.501,26,97,0.268,69,112,0.616,191,296,487,97,46,68,83,143,565,21.945945945945947,3.175675675675676,6.337837837837838,0.35135135135135137,1.3108108108108107,0.9324324324324325,1.5135135135135136,2.581081081081081,4.0,6.581081081081081,1.3108108108108107,0.6216216216216216,0.918918918918919,1.1216216216216217,1.9324324324324325,7.635135135135135,14.5,0.564,0.167,0.234,13.300,19.900,16.600,6.200,1.300,4.400,14.100,14.000,1.2,1.8,3.0,0.122,-1.9,0.5,-1.4,0.2
1630173,Precious Achiuwa,7,2024-25,NYK,25.0,35,8,797.0,107,201,0.532,9,27,0.333,29,47,0.617,77,141,218,37,35,26,28,55,252,22.771428571428572,3.057142857142857,5.742857142857143,0.2571428571428571,0.7714285714285715,0.8285714285714286,1.3428571428571427,2.2,4.0285714285714285,6.228571428571429,1.0571428571428572,1.0,0.7428571428571429,0.8,1.5714285714285714,7.2,14.8,0.568,0.134,0.234,11.200,19.900,15.600,6.000,2.200,3.000,11.200,13.500,1.0,1.0,2.0,0.120,-0.9,-0.1,-1.0,0.2
203500,Steven Adams,1,2013-14,OKC,20.0,81,20,1197.0,93,185,0.503,0,0,0.0,79,136,0.581,142,190,332,43,40,57,71,203,265,14.777777777777779,1.1481481481481481,2.2839506172839505,0.0,0.0,0.9753086419753086,1.6790123456790123,1.7530864197530864,2.345679012345679,4.098765432098766,0.5308641975308642,0.49382716049382713,0.7037037037037037,0.8765432098765432,2.506172839506173,3.271604938271605,11.2,0.541,0.000,0.735,14.100,17.100,15.600,4.900,1.700,3.900,22.500,11.700,0.9,1.9,2.9,0.114,-3.1,0.9,-2.2,-0.1
203500,Steven Adams,2,2014-15,OKC,21.0,70,67,1771.0,217,399,0.544,0,2,0.0,103,205,0.502,199,324,523,66,38,86,99,222,537,25.3,3.1,5.7,0.0,0.02857142857142857,1.4714285714285715,2.9285714285714284,2.842857142857143,4.628571428571429,7.4714285714285715,0.9428571428571428,0.5428571428571428,1.2285714285714286,1.4142857142857144,3.1714285714285713,7.671428571428572,14.1,0.549,0.005,0.514,12.200,19.300,15.800,5.500,1.100,3.800,16.800,14.300,1.9,2.2,4.1,0.111,-1.5,0.2,-1.3,0.3
203500,Steven Adams,3,2015-16,OKC,22.0,80,80,2014.0,261,426,0.613,0,0,0.0,114,196,0.582,219,314,533,62,42,89,84,223,636,25.175,3.2625,5.325,0.0,0.0,1.425,2.45,2.7375,3.925,6.6625,0.775,0.525,1.1125,1.05,2.7875,7.95,15.5,0.621,0.000,0.460,12.500,16.100,14.400,4.300,1.000,3.300,14.100,12.600,4.2,2.3,6.5,0.155,0.0,0.2,0.2,1.1
203500,Steven Adams,4,2016-17,OKC,23.0,80,80,2389.0,374,655,0.571,0,1,0.0,157,257,0.611,281,332,613,86,89,78,146,195,905,29.8625,4.675,8.1875,0.0,0.0125,1.9625,3.2125,3.5125,4.15,7.6625,1.075,1.1125,0.975,1.825,2.4375,11.3125,16.5,0.589,0.002,0.392,13.000,15.400,14.200,5.400,1.800,2.600,16.000,16.200,3.3,3.1,6.5,0.130,-0.2,0.0,-0.2,1.1
203500,Steven Adams,5,2017-18,OKC,24.0,76,76,2487.0,448,712,0.629,0,2,0.0,160,286,0.559,384,301,685,88,92,78,128,215,1056,32.723684210526315,5.894736842105263,9.368421052631579,0.0,0.02631578947368421,2.1052631578947367,3.763157894736842,5.052631578947368,3.960526315789474,9.013157894736842,1.1578947368421053,1.2105263157894737,1.0263157894736843,1.6842105263157894,2.8289473684210527,13.894736842105264,20.6,0.630,0.003,0.402,16.600,13.900,15.300,5.500,1.800,2.800,13.300,16.700,6.7,3.0,9.7,0.187,1.7,-0.6,1.1,2.0
203500,Steven Adams,6,2018-19,OKC,25.0,80,80,2669.0,481,809,0.595,0,2,0.0,146,292,0.5,391,369,760,124,117,76,135,204,1108,33.3625,6.0125,10.1125,0.0,0.025,1.825,3.65,4.8875,4.6125,9.5,1.55,1.4625,0.95,1.6875,2.55,13.85,18.5,0.591,0.002,0.361,14.700,14.800,14.700,6.600,2.000,2.400,12.600,16.400,5.1,4.0,9.1,0.163,0.7,0.4,1.1,2.1
203500,Steven Adams,7,2019-20,OKC,26.0,63,63,1681.0,283,478,0.592,1,3,0.333,117,201,0.582,207,376,583,146,51,67,94,122,684,26.682539682539684,4.492063492063492,7.587301587301587,0.015873015873015872,0.047619047619047616,1.8571428571428572,3.1904761904761907,3.2857142857142856,5.968253968253968,9.253968253968255,2.3174603174603177,0.8095238095238095,1.0634920634920635,1.492063492063492,1.9365079365079365,10.857142857142858,20.5,0.604,0.006,0.421,14.000,24.000,19.200,13.200,1.500,3.400,14.200,17.300,3.8,2.7,6.5,0.185,1.9,1.1,2.9,2.1
203500,Steven Adams,8,2020-21,NOP,27.0,58,58,1605.0,189,308,0.614,0,3,0.0,60,135,0.444,213,301,514,111,54,38,78,113,438,27.67241379310345,3.2586206896551726,5.310344827586207,0.0,0.05172413793103448,1.0344827586206897,2.3275862068965516,3.6724137931034484,5.189655172413793,8.862068965517242,1.9137931034482758,0.9310344827586207,0.6551724137931034,1.3448275862068966,1.9482758620689655,7.551724137931035,15.1,0.596,0.010,0.438,14.400,20.400,17.400,9.100,1.600,2.200,17.500,11.700,2.3,1.7,4.0,0.119,-0.4,0.1,-0.3,0.7
203500,Steven Adams,9,2021-22,MEM,28.0,76,75,1999.0,210,384,0.547,0,1,0.0,108,199,0.543,349,411,760,256,65,60,115,153,528,26.30263157894737,2.763157894736842,5.052631578947368,0.0,0.013157894736842105,1.4210526315789473,2.6184210526315788,4.592105263157895,5.407894736842105,10.0,3.3684210526315788,0.8552631578947368,0.7894736842105263,1.513157894736842,2.013157894736842,6.947368421052632,17.6,0.560,0.003,0.518,17.900,22.000,19.900,16.100,1.600,2.700,19.600,12.000,3.8,3.0,6.8,0.163,1.0,1.0,2.0,2.0
203500,Steven Adams,10,2022-23,MEM,29.0,42,42,1133.0,157,263,0.597,0,1,0.0,47,129,0.364,214,271,485,97,36,46,79,98,361,26.976190476190474,3.738095238095238,6.261904761904762,0.0,0.023809523809523808,1.119047619047619,3.0714285714285716,5.095238095238095,6.4523809523809526,11.547619047619047,2.3095238095238093,0.8571428571428571,1.0952380952380953,1.880952380952381,2.3333333333333335,8.595238095238095,17.5,0.564,0.004,0.490,20.100,25.300,22.700,11.200,1.500,3.700,19.800,14.600,1.3,2.1,3.4,0.144,-0.3,0.9,0.6,0.7
203500,Steven Adams,11,2024-25,HOU,31.0,39,2,482.0,55,104,0.529,0,0,0.0,29,65,0.446,105,97,202,40,11,17,35,39,139,12.35897435897436,1.4102564102564104,2.6666666666666665,0.0,0.0,0.7435897435897436,1.6666666666666667,2.6923076923076925,2.4871794871794872,5.17948717948718,1.0256410256410255,0.28205128205128205,0.4358974358974359,0.8974358974358975,1.0,3.5641025641025643,16.3,0.524,0.000,0.625,22.600,22.000,22.300,11.100,1.100,3.200,20.900,14.300,0.5,0.8,1.3,0.126,-0.2,-0.3,-0.5,0.2
1628389,Bam Adebayo,1,2017-18,MIA,20.0,69,19,1368.0,174,340,0.512,0,7,0.0,129,179,0.721,118,263,381,101,32,41,66,138,477,19.82608695652174,2.5217391304347827,4.927536231884058,0.0,0.10144927536231885,1.8695652173913044,2.5942028985507246,1.710144927536232,3.8115942028985508,5.521739130434782,1.463768115942029,0.463768115942029,0.5942028985507246,0.9565217391304348,2.0,6.913043478260869,15.7,0.570,0.021,0.526,9.700,21.600,15.600,11.000,1.200,2.500,13.600,15.900,2.3,1.9,4.2,0.148,-1.1,0.7,-0.4,0.6
1628389,Bam Adebayo,2,2018-19,MIA,21.0,82,28,1913.0,280,486,0.576,3,15,0.2,166,226,0.735,165,432,597,184,71,65,121,203,729,23.329268292682926,3.4146341463414633,5.926829268292683,0.036585365853658534,0.18292682926829268,2.024390243902439,2.7560975609756095,2.0121951219512195,5.2682926829268295,7.280487804878049,2.2439024390243905,0.8658536585365854,0.7926829268292683,1.475609756097561,2.475609756097561,8.890243902439025,17.9,0.623,0.031,0.465,9.200,24.000,16.600,14.200,1.800,3.000,17.100,15.800,3.4,3.4,6.8,0.171,-0.4,2.2,1.8,1.8
