PLAYER_ID,PLAYER_NAME,GP,MIN,PTS,REB,AST,STL,BLK,FG_PCT,FG3_PCT,FT_PCT,PLUS_MINUS,TIMESTAMP,TIMEFRAME
203497,Rudy Gobert,10,34.7,16.3,13.0,1.7,1.2,2.2,73.5%,0.0%,59.4%,-0.5,2025-02-15T13:26:30.384076,Last 10 games
1630162,Anthony Edwards,10,34.4,24.2,5.0,4.9,1.4,0.2,43.7%,25.4%,88.9%,-1.5,2025-02-15T13:26:30.384076,Last 10 games
1630183,Jaden McDaniels,10,29.1,9.3,3.1,1.9,0.9,0.6,47.5%,24.2%,81.8%,-0.4,2025-02-15T13:26:30.384076,Last 10 games
201144,Mike Conley,9,28.7,14.7,2.9,5.2,1.6,0.2,51.8%,55.4%,100.0%,-1.3,2025-02-15T13:26:30.384076,Last 10 games
1626157,Karl-Anthony Towns,2,28.4,10.5,5.5,5.0,0.0,0.5,36.8%,20.0%,83.3%,-11.0,2025-02-15T13:26:30.384076,Last 10 games
1629675,Naz Reid,10,27.8,15.3,5.9,1.7,1.4,1.1,43.4%,41.4%,63.0%,-1.3,2025-02-15T13:26:30.384076,Last 10 games
1629638,Nickeil Alexander-Walker,10,21.8,10.3,1.9,2.1,0.7,0.4,46.8%,43.8%,88.9%,5.1,2025-02-15T13:26:30.384076,Last 10 games
203937,Kyle Anderson,10,20.5,4.9,2.1,3.8,1.1,1.0,37.7%,25.0%,63.6%,0.4,2025-02-15T13:26:30.384076,Last 10 games
1629162,Jordan McLaughlin,10,14.8,4.1,1.3,2.6,0.5,0.0,53.6%,37.5%,83.3%,7.9,2025-02-15T13:26:30.384076,Last 10 games
1628420,Monté Morris,10,13.7,4.9,2.2,1.6,0.5,0.5,44.7%,45.5%,83.3%,4.3,2025-02-15T13:26:30.384076,Last 10 games
203933,T.J. Warren,3,6.4,4.0,1.7,0.7,0.3,0.0,71.4%,0.0%,100.0%,9.3,2025-02-15T13:26:30.384076,Last 10 games
1630568,Luka Garza,6,3.9,4.5,1.2,0.2,0.3,0.0,61.1%,0.0%,71.4%,4.5,2025-02-15T13:26:30.384076,Last 10 games
1630227,Daishen Nix,3,3.6,1.7,0.7,1.3,0.3,0.0,25.0%,33.3%,100.0%,2.7,2025-02-15T13:26:30.384076,Last 10 games
1631111,Wendell Moore Jr.,7,3.3,1.1,0.9,0.6,0.0,0.0,57.1%,0.0%,0.0%,2.4,2025-02-15T13:26:30.384076,Last 10 games
1631169,Josh Minott,7,3.1,1.7,0.6,0.6,0.1,0.1,55.6%,100.0%,0.0%,2.4,2025-02-15T13:26:30.384076,Last 10 games
1631159,Leonard Miller,7,2.9,2.0,1.1,0.4,0.1,0.0,66.7%,50.0%,50.0%,2.4,2025-02-15T13:26:30.384076,Last 10 games
